,sex,age,famsize,Medu,Fedu,Mjob,Fjob,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,higher,internet,famrel,freetime,goout,health,absences,G1,G2,G3
20,1,15,0,4,3,4,1,0,1,2,0,1,0,0,0,0,1,4,4,1,1,0,13,14,15.0
21,1,15,0,4,4,1,3,1,1,1,0,1,1,1,0,0,1,5,4,2,5,0,12,15,15.0
22,1,16,1,4,2,4,1,0,1,2,0,1,0,0,1,0,1,4,5,1,5,2,15,15,16.0
23,1,16,1,2,2,2,1,0,2,2,0,1,1,0,1,0,1,5,4,4,5,0,13,13,12.0
24,0,15,0,2,4,3,3,0,1,3,0,0,1,1,1,0,1,4,3,2,5,2,10,9,8.0
25,0,16,0,2,2,3,2,0,1,1,2,1,1,1,0,0,1,1,2,2,5,14,6,9,8.0
26,1,15,0,2,2,2,1,0,1,1,0,1,1,1,0,0,1,4,2,2,5,2,12,12,11.0
27,1,15,0,4,2,1,2,0,1,1,0,1,0,1,0,0,1,2,2,4,1,4,15,16,15.0
28,1,16,1,3,4,3,1,0,1,2,0,0,1,0,1,0,1,5,3,3,5,4,11,11,11.0
29,1,16,0,4,4,4,0,0,1,2,0,1,1,1,1,0,1,4,4,5,5,16,10,12,11.0
30,1,15,0,4,4,1,2,0,1,2,0,1,1,1,0,0,1,5,4,2,5,0,9,11,12.0
31,1,15,0,4,4,3,2,0,2,2,0,1,1,0,1,0,1,4,3,1,5,0,17,16,17.0
32,1,15,0,4,3,4,4,0,1,2,0,1,1,0,1,0,1,4,5,2,5,0,17,16,16.0
33,1,15,1,3,3,2,1,0,1,2,0,1,0,0,1,0,1,5,3,2,2,0,8,10,12.0
34,1,16,0,3,2,2,1,0,1,1,0,1,1,1,0,0,1,5,4,3,5,0,12,14,15.0
35,0,15,0,2,3,2,1,1,2,1,0,1,1,0,1,0,0,3,5,1,5,0,8,7,6.0
36,1,15,1,4,3,4,2,0,1,3,0,1,1,0,1,0,1,5,4,3,4,2,15,16,18.0
37,1,16,0,4,4,2,0,0,2,3,0,1,1,0,1,0,1,2,4,3,5,7,15,16,15.0
38,0,15,0,3,4,3,3,0,1,3,0,0,1,1,1,0,1,4,3,2,5,2,12,12,11.0
39,0,15,0,2,2,0,1,0,1,1,0,0,1,1,1,0,0,4,3,1,2,8,14,13,13.0
40,0,16,1,2,2,2,1,0,2,2,1,1,1,0,1,0,1,3,3,3,3,25,7,10,11.0
41,1,15,1,4,4,4,1,2,1,1,0,1,1,0,0,0,1,5,4,3,5,8,12,12,12.0
42,1,15,0,4,4,3,0,1,1,2,0,1,1,0,1,0,1,4,3,3,5,2,19,18,18.0
43,1,15,0,2,2,3,2,1,1,1,0,0,1,0,0,0,1,5,4,1,1,0,8,8,11.0
44,0,16,1,2,2,2,4,1,2,2,1,0,0,0,1,0,1,4,3,3,5,14,10,10,9.0
45,0,15,1,4,3,2,1,0,1,2,0,0,1,1,1,0,1,5,2,2,5,8,8,8,6.0
46,0,16,1,3,3,2,2,0,1,2,0,1,1,0,0,0,1,2,3,5,3,12,11,12,11.0
47,1,16,0,4,3,1,2,0,1,4,0,1,0,0,1,0,1,4,2,2,2,4,19,19,20.0
48,1,15,0,4,2,4,1,0,1,2,0,1,1,1,0,0,0,4,3,3,5,2,15,15,14.0
49,0,15,0,4,4,3,0,1,1,2,1,0,1,0,1,0,1,4,4,4,3,2,7,7,7.0
50,0,16,1,2,2,3,2,0,3,2,0,1,1,1,0,0,1,4,3,3,4,2,12,13,13.0
51,0,15,1,4,2,1,1,0,1,2,0,1,1,1,0,0,1,4,3,3,5,2,11,13,13.0
52,1,15,1,4,2,1,3,1,2,1,1,1,0,0,0,0,0,5,5,5,5,6,11,11,10.0
53,0,15,0,4,4,3,2,0,1,1,0,0,1,1,0,0,1,3,3,4,5,0,8,10,11.0
54,0,15,1,3,3,2,1,0,1,1,0,1,0,1,0,0,1,5,3,4,1,6,10,13,13.0
55,0,16,0,2,1,2,1,0,1,2,0,1,0,1,1,0,1,5,3,4,2,8,8,9,10.0
56,0,15,0,4,3,3,2,0,1,2,0,1,1,1,1,0,1,4,3,2,1,0,14,15,15.0
57,1,15,0,4,4,4,3,0,1,2,0,1,1,0,1,0,0,3,2,2,5,4,14,15,15.0
58,1,15,1,1,2,2,4,1,1,2,0,0,1,0,1,0,1,4,3,2,5,2,9,10,9.0
59,0,16,0,4,2,3,1,0,1,2,0,1,1,0,0,0,1,4,2,3,5,2,15,16,16.0
60,0,16,0,4,4,1,0,0,1,2,0,1,1,0,1,0,0,2,4,4,4,6,10,11,11.0
61,0,16,0,1,1,3,2,1,4,1,0,0,1,0,1,0,1,5,5,5,5,6,10,8,11.0
62,0,16,1,1,2,2,2,1,1,2,0,0,0,0,1,0,1,4,4,3,1,4,8,10,9.0
63,0,16,0,4,3,4,3,0,1,3,0,0,1,1,1,0,1,3,4,4,4,2,10,9,9.0
64,0,15,1,4,3,3,2,1,1,2,0,0,0,0,1,0,1,4,4,4,2,0,10,10,10.0
65,0,16,1,4,3,4,2,0,3,2,0,1,1,0,1,0,1,5,4,3,1,2,16,15,15.0
66,1,15,0,4,4,2,2,0,1,4,0,1,1,0,1,0,1,1,3,3,3,4,13,13,12.0
67,0,16,0,3,1,3,1,0,1,4,0,0,1,1,0,0,1,4,3,3,5,4,7,7,6.0
68,0,15,1,2,2,1,2,0,2,2,0,0,1,1,0,0,1,4,1,3,4,2,8,9,8.0
69,0,15,1,3,1,2,1,1,2,4,0,1,1,0,0,0,1,4,4,2,3,12,16,16,16.0
70,1,16,0,3,1,2,1,1,2,4,0,1,1,1,0,0,1,4,3,2,5,0,13,15,15.0
71,1,15,0,4,2,2,1,0,1,4,0,1,0,0,0,0,1,3,3,3,3,0,10,10,10.0
72,0,15,0,1,1,2,1,0,1,2,2,0,1,0,0,0,1,3,3,4,5,2,8,6,5.0
73,1,16,0,3,1,2,1,0,1,1,0,1,0,0,1,0,0,5,3,2,5,2,12,12,14.0
74,0,16,0,3,3,2,2,0,1,2,0,0,1,1,1,0,1,4,3,3,5,54,11,12,11.0
75,1,15,0,4,3,4,1,0,1,2,0,1,1,1,1,0,1,4,3,3,5,6,9,9,10.0
76,1,15,0,4,0,4,1,0,2,4,0,1,0,0,1,0,1,3,4,3,1,8,11,11,10.0
77,0,16,0,2,2,2,1,0,1,4,0,1,0,1,0,0,1,5,2,3,3,0,11,11,11.0
78,1,17,0,2,1,2,1,0,2,1,3,0,1,0,1,1,1,4,5,1,3,2,8,8,10.0
79,0,16,0,3,4,0,1,0,1,2,0,1,1,0,0,0,1,2,4,3,3,12,5,5,5.0
80,1,15,0,2,3,2,2,1,1,1,0,0,1,1,1,0,1,3,2,2,3,2,10,12,12.0
81,1,15,0,2,3,2,1,0,1,3,0,0,0,1,0,0,1,5,3,2,5,4,11,10,11.0
82,0,15,1,3,2,3,1,0,1,2,0,1,1,1,0,0,1,4,4,4,5,10,7,6,6.0
83,1,15,1,2,2,3,2,0,2,2,0,1,0,1,1,0,1,5,3,3,4,4,15,15,15.0
84,0,15,0,1,1,2,1,1,1,2,0,1,1,0,1,0,1,4,3,2,4,2,9,10,10.0
85,0,15,0,4,4,3,2,1,2,2,2,1,0,1,0,0,1,4,4,4,5,6,7,9,8.0
86,0,16,1,2,2,0,1,0,1,2,0,1,1,0,0,0,0,4,3,4,2,4,8,7,6.0
87,0,15,0,4,2,2,1,0,1,3,0,1,1,0,1,0,1,5,3,3,1,4,13,14,14.0
88,1,16,0,2,2,3,1,1,2,2,1,1,0,1,1,0,1,4,4,2,3,12,11,10,10.0
89,1,16,1,4,4,4,3,0,1,2,0,1,1,0,0,0,0,4,1,3,5,18,8,6,7.0
90,0,16,0,3,3,2,1,0,1,3,0,1,1,1,0,0,1,4,3,3,4,0,7,7,8.0
91,0,15,0,4,3,3,1,0,1,1,0,1,0,1,1,0,1,4,5,5,1,4,16,17,18.0
92,0,16,1,3,1,2,1,1,1,2,0,0,1,0,0,0,0,3,3,3,2,4,7,6,6.0
93,0,16,0,4,2,4,2,0,2,2,0,1,1,1,1,0,1,5,3,3,1,0,11,10,10.0
94,1,15,1,2,2,3,3,0,1,4,0,1,1,0,1,0,1,4,3,4,4,6,11,13,14.0
95,0,15,0,1,1,0,1,0,2,4,1,0,1,1,1,0,1,3,1,2,1,2,7,10,10.0
96,1,16,0,4,3,3,1,0,2,1,0,0,1,0,1,0,1,3,3,3,4,2,11,15,15.0
97,0,16,0,2,1,2,1,0,1,2,0,1,1,1,0,0,0,4,3,5,5,2,8,9,10.0
98,0,16,0,4,4,2,1,0,1,1,0,1,0,0,1,0,1,5,3,4,1,6,11,14,14.0
99,0,16,0,4,3,2,4,0,1,3,0,0,1,1,0,0,1,5,3,5,3,0,7,9,8.0
100,1,16,0,4,4,3,2,0,1,1,0,0,1,1,1,0,1,4,5,5,4,14,7,7,5.0
101,1,16,0,4,4,3,0,1,1,3,0,1,1,0,1,0,1,4,4,3,4,0,16,17,17.0
102,1,15,0,4,4,3,1,0,1,1,0,1,1,0,1,0,1,5,3,3,5,4,10,13,14.0
103,0,15,0,3,2,3,1,0,2,2,0,0,1,1,0,0,1,4,3,5,2,26,7,6,6.0
104,1,15,0,3,4,3,1,0,1,2,0,1,1,1,1,0,1,5,4,4,1,0,16,18,18.0
105,0,15,0,3,3,2,3,1,1,4,0,0,0,0,0,0,0,4,3,3,4,10,10,11,11.0
106,0,15,0,2,2,2,1,0,1,4,0,0,1,1,0,0,1,5,1,2,3,8,7,8,8.0
107,1,16,0,3,3,3,1,1,1,3,0,1,1,0,1,0,1,5,3,3,5,2,16,18,18.0
108,1,15,0,4,4,2,1,1,4,4,0,1,1,1,1,0,1,1,3,5,1,6,10,13,13.0
109,0,16,1,4,4,1,3,0,1,3,0,1,1,1,1,0,1,5,4,5,4,4,14,15,16.0
110,1,15,1,4,4,4,0,0,1,1,0,1,0,0,1,0,1,5,5,3,4,6,18,19,19.0
111,0,16,0,3,3,3,1,1,1,3,1,0,1,0,1,0,1,4,1,2,2,0,7,10,10.0
112,0,16,0,2,2,0,1,0,1,2,1,0,0,0,1,0,1,3,1,2,5,6,10,13,13.0
113,1,15,1,4,2,4,1,0,1,1,0,1,0,0,0,0,1,3,5,2,3,10,18,19,19.0
114,1,15,0,2,1,1,2,0,1,2,0,1,0,0,1,0,1,5,4,2,5,8,9,9,9.0
115,1,16,0,4,4,4,0,1,1,2,0,1,1,0,1,0,1,5,4,4,5,2,15,15,16.0
116,1,15,0,4,4,2,0,1,2,2,0,1,1,0,1,0,0,4,4,3,2,2,11,13,14.0
117,1,16,0,3,3,2,2,1,2,1,0,1,0,0,1,0,1,5,4,2,5,0,13,14,13.0
118,1,17,0,1,3,2,1,1,3,2,1,1,1,0,1,0,1,5,2,4,5,20,9,7,8.0
119,1,15,0,3,4,2,1,1,1,1,0,1,0,0,0,0,1,3,4,3,4,6,14,13,13.0
120,0,15,0,1,2,0,2,0,1,2,0,1,0,0,0,0,1,3,2,3,1,2,16,15,15.0
121,1,15,0,2,2,3,2,1,1,4,0,1,1,1,1,0,1,5,5,4,5,6,16,14,15.0
122,0,16,1,2,4,2,3,1,2,2,0,1,1,1,1,0,1,4,2,2,5,2,13,13,13.0
123,1,16,0,4,4,1,1,0,1,1,0,1,1,0,1,0,1,3,4,4,5,18,14,11,13.0
124,0,16,0,2,2,2,1,0,1,2,0,1,0,1,0,0,1,5,4,4,5,0,8,7,8.0
125,1,15,0,3,4,3,2,1,1,1,0,0,0,0,0,0,1,5,5,5,5,0,13,13,12.0
126,0,15,1,3,4,2,1,0,1,2,0,0,0,0,1,0,1,5,3,2,1,0,7,10,11.0
127,0,19,0,0,1,0,1,2,1,2,3,1,1,0,0,1,0,3,4,2,5,2,7,8,9.0
129,1,16,0,4,4,4,0,0,1,1,0,1,0,1,1,0,1,3,5,5,4,8,18,18,18.0
132,0,17,1,2,2,2,1,1,1,1,0,1,1,0,0,0,1,3,4,4,5,12,10,13,12.0
133,0,16,0,3,4,3,1,1,1,1,0,1,0,0,0,0,1,3,2,1,5,16,12,11,11.0
138,1,16,1,1,1,3,1,0,1,2,1,1,0,0,0,0,0,4,4,4,5,0,14,12,12.0
139,0,15,0,4,4,4,0,0,2,1,0,1,0,0,1,0,1,4,3,2,5,0,16,16,15.0
141,1,16,1,2,2,3,2,1,2,1,2,1,1,0,1,0,1,2,3,3,2,8,9,9,9.0
142,0,15,0,4,4,4,2,0,1,3,0,1,1,1,1,0,1,4,2,2,5,2,9,11,11.0
143,0,16,1,1,1,0,4,0,1,1,0,1,0,0,0,0,1,3,4,4,1,2,14,14,13.0
145,0,15,0,1,1,2,2,1,1,2,0,1,1,1,0,0,1,4,4,2,5,0,8,11,11.0
147,0,15,0,1,2,0,1,0,1,2,0,1,1,1,0,0,1,4,3,2,5,2,10,11,11.0
149,1,15,1,2,1,3,1,0,4,1,3,1,0,0,0,0,1,4,5,5,5,0,8,9,10.0
151,1,16,1,2,1,0,1,0,1,1,1,1,0,0,1,0,0,4,4,4,5,6,12,13,14.0
152,0,15,0,3,3,3,2,2,2,3,2,1,1,1,1,0,1,4,2,1,3,8,10,10,10.0
154,0,17,0,4,4,2,0,0,1,1,0,0,1,0,0,0,0,4,2,1,4,0,11,11,12.0
155,1,15,0,2,3,0,2,0,1,2,0,0,0,1,1,0,0,4,4,4,1,2,11,8,8.0
156,1,17,1,1,2,2,1,0,1,1,0,1,0,0,0,0,0,2,2,2,5,8,16,12,13.0
157,0,18,0,1,1,0,1,0,3,1,3,1,1,0,1,0,0,5,2,5,4,6,9,8,10.0
158,1,16,0,2,2,0,1,0,3,1,0,1,0,0,0,0,0,4,2,2,3,2,17,15,15.0
159,1,16,0,3,3,2,2,1,1,2,1,1,1,1,0,0,1,4,5,5,5,4,10,12,12.0
161,1,15,0,3,2,2,1,0,2,2,2,0,1,0,0,0,1,4,4,4,3,6,5,9,7.0
163,1,17,0,1,3,0,2,1,1,1,0,1,0,0,0,1,1,5,3,3,2,2,10,10,10.0
164,1,17,1,1,1,2,2,0,4,2,3,1,0,0,1,1,0,5,3,5,5,0,5,8,7.0
165,1,16,0,3,2,3,2,0,2,1,1,1,1,0,1,1,0,4,5,2,2,16,12,11,12.0
166,1,16,0,2,2,2,1,1,1,2,0,1,0,0,0,1,1,4,3,5,4,4,10,10,10.0
167,0,16,0,4,2,1,2,1,1,2,0,1,0,1,0,0,1,4,2,3,3,0,14,15,16.0
169,0,16,0,4,4,1,3,0,1,2,0,1,1,1,0,0,1,4,4,2,3,0,14,14,14.0
171,1,16,0,1,0,2,1,0,2,2,0,1,1,1,1,0,1,4,3,2,3,2,13,15,16.0
172,1,17,1,4,4,4,1,0,1,2,0,1,1,1,1,0,1,4,4,4,5,0,13,11,10.0
174,0,16,1,3,3,2,1,0,2,2,0,1,1,1,1,0,1,4,4,5,4,4,10,11,9.0
175,1,17,1,4,3,4,1,0,2,2,0,1,0,1,1,0,1,4,4,4,4,4,10,9,9.0
176,0,16,0,2,2,3,1,0,2,2,0,1,0,1,1,0,1,3,4,4,5,2,13,13,11.0
177,1,17,0,3,3,2,1,1,1,2,0,1,0,0,1,0,1,4,3,4,4,4,6,5,6.0
178,1,16,0,4,2,4,2,0,1,1,0,1,1,0,1,0,1,4,3,3,3,10,10,8,9.0
179,1,17,0,4,3,2,1,0,1,2,0,1,1,0,1,0,1,5,2,3,2,4,10,10,11.0
180,1,16,0,4,3,4,1,0,1,2,0,1,1,1,1,0,1,3,4,3,3,10,9,8,8.0
181,1,16,0,3,3,3,1,0,1,2,0,1,0,1,1,0,1,4,2,3,3,2,12,13,12.0
182,0,17,0,2,4,3,2,1,1,2,0,1,1,0,1,0,0,5,4,2,5,0,16,17,17.0
183,0,17,1,3,3,2,1,0,1,2,0,1,1,0,1,0,1,5,3,3,1,56,9,9,8.0
184,0,16,0,3,2,2,1,0,1,2,0,1,1,1,0,0,1,1,2,2,1,14,12,13,12.0
185,1,17,0,3,3,3,2,0,1,2,0,1,1,0,1,0,1,4,3,4,4,12,12,12,11.0
186,1,16,0,1,2,3,2,0,1,1,0,1,1,1,1,0,1,3,3,3,3,2,11,12,11.0
187,1,16,1,2,1,2,1,0,1,2,0,1,0,1,1,0,1,4,2,3,5,0,15,15,15.0
188,0,17,0,3,3,1,1,0,1,2,0,1,1,0,0,0,1,3,3,3,3,6,8,7,9.0
189,1,17,0,1,2,0,1,0,1,2,0,1,0,0,0,0,0,3,1,3,3,4,8,9,10.0
190,0,16,0,2,3,3,2,0,1,2,0,1,0,0,0,0,1,4,3,3,2,10,11,12,13.0
191,0,17,0,1,1,0,2,0,1,2,0,1,0,0,1,0,1,5,3,3,3,0,8,8,9.0
192,1,17,0,1,2,0,2,2,2,2,0,1,0,1,1,0,1,4,4,4,5,12,7,8,8.0
193,1,16,0,3,3,3,2,0,1,1,0,1,1,0,1,0,1,4,3,2,5,8,8,9,10.0
194,1,16,0,2,3,2,1,1,2,1,0,1,0,0,0,0,1,5,3,3,3,0,13,14,14.0
195,0,17,1,2,4,3,2,1,1,2,0,1,0,0,1,0,1,4,3,2,5,0,14,15,15.0
196,1,17,0,4,4,3,0,0,1,1,0,1,0,0,0,0,1,5,2,3,5,4,17,15,16.0
197,1,16,1,3,3,4,1,1,3,1,0,1,1,1,1,0,1,3,3,4,3,8,9,9,10.0
198,0,17,0,4,4,3,0,0,2,1,1,1,1,0,0,0,1,4,2,4,2,24,18,18,18.0
199,0,16,1,4,4,4,0,0,1,2,0,1,1,1,0,0,1,4,5,2,3,0,9,9,10.0
200,0,16,0,4,3,1,1,0,1,2,0,1,1,0,1,0,1,4,3,5,2,2,16,16,16.0
201,0,16,0,2,3,2,1,0,1,2,0,0,1,1,1,0,0,4,4,3,4,6,8,10,10.0
202,0,17,0,1,1,2,1,0,1,2,0,1,1,1,0,0,0,4,4,4,1,4,9,9,10.0
203,0,17,0,2,2,2,1,0,1,1,0,1,1,0,0,0,1,5,3,2,3,18,7,6,6.0
204,0,16,0,2,2,3,2,0,2,4,0,1,1,1,1,0,1,5,3,5,5,6,10,10,11.0
205,0,17,0,3,4,0,2,0,1,3,1,1,1,1,0,0,1,4,4,3,5,28,10,9,9.0
206,0,16,0,3,1,3,1,0,1,2,3,1,1,1,0,0,1,2,3,3,4,5,7,7,7.0
207,0,16,0,4,3,4,1,0,1,2,0,1,0,1,1,0,1,1,3,2,1,10,11,12,13.0
208,0,16,0,1,1,0,1,0,2,1,0,1,1,1,0,0,0,4,3,2,5,6,9,9,10.0
209,0,17,0,4,3,4,1,0,2,3,0,1,1,1,1,0,1,4,4,2,4,6,7,7,7.0
210,0,19,0,3,3,2,1,2,1,4,0,1,1,1,1,0,1,4,3,3,3,10,8,8,8.0
211,1,17,1,4,4,3,1,0,1,2,0,1,1,1,0,0,1,5,3,5,3,13,12,12,13.0
212,0,16,0,2,2,2,1,0,1,2,0,0,1,1,0,0,1,3,3,4,4,0,12,13,14.0
213,1,18,0,2,2,3,1,0,1,2,1,1,1,1,1,0,1,4,4,4,5,15,6,7,8.0
214,0,17,1,4,4,3,1,0,1,1,0,1,1,1,0,0,0,5,2,1,3,12,8,10,10.0
215,0,17,1,3,2,2,1,0,2,2,0,1,0,1,0,0,1,4,4,4,1,2,14,15,15.0
216,0,17,0,4,3,2,1,0,1,2,2,1,0,1,0,0,1,3,4,5,1,22,6,6,4.0
217,1,18,1,3,3,3,3,1,1,2,1,1,1,1,0,0,1,3,2,4,4,13,6,6,8.0
218,0,17,0,2,3,0,1,1,2,1,0,1,1,1,0,0,0,3,3,3,3,3,7,7,8.0
219,0,17,0,2,2,0,4,0,1,3,0,1,1,1,1,0,1,4,3,3,4,4,9,10,10.0
220,0,17,0,2,1,0,2,0,2,2,0,1,1,0,1,0,1,4,2,5,5,2,6,6,6.0
222,0,16,0,2,3,3,0,0,1,2,0,0,0,0,0,0,1,2,3,1,3,2,16,16,17.0
223,1,18,0,2,2,2,1,0,2,2,0,1,1,1,0,0,1,3,3,3,4,0,12,13,13.0
224,0,16,0,4,4,4,2,0,1,3,0,1,1,0,1,0,1,5,3,2,5,0,13,13,14.0
225,0,18,0,3,1,2,1,0,1,2,1,1,0,0,1,0,1,5,3,3,4,16,9,8,7.0
226,0,17,0,3,2,2,1,0,1,2,0,1,0,0,1,0,1,5,3,4,3,10,16,15,15.0
227,1,17,1,2,3,3,2,1,1,2,0,1,1,1,0,0,1,5,3,3,3,2,12,11,12.0
228,1,18,1,2,1,0,1,0,4,2,0,0,1,1,1,0,1,4,3,2,3,14,10,8,9.0
229,0,17,0,2,1,2,1,0,2,3,0,1,0,0,1,0,1,3,2,3,3,10,12,10,12.0
230,0,17,1,4,3,1,1,1,1,2,0,1,0,0,1,0,1,3,2,3,3,14,13,13,14.0
231,1,17,0,2,2,2,1,1,2,2,0,1,1,1,1,0,1,4,5,2,1,4,11,11,11.0
232,1,17,0,4,4,4,0,0,1,2,0,0,1,0,1,0,1,4,5,5,2,14,11,9,9.0
233,1,16,0,4,4,1,1,1,1,2,0,1,1,1,1,0,1,4,2,4,1,2,14,13,13.0
234,1,16,1,1,1,2,1,0,2,2,0,1,1,1,0,0,1,3,4,2,5,18,9,7,6.0
235,1,16,0,3,2,0,1,0,2,3,0,1,0,0,1,0,1,5,3,3,2,10,11,9,10.0
236,1,17,1,2,2,2,1,1,1,2,0,1,0,1,1,0,1,4,4,2,4,4,14,13,13.0
237,0,16,0,2,1,2,1,0,1,1,0,1,0,0,0,0,1,4,5,2,5,20,13,12,12.0
238,0,17,0,2,1,0,2,0,3,2,0,1,0,0,1,0,0,2,1,1,3,2,13,11,11.0
240,1,17,1,4,3,1,1,0,2,2,0,1,0,0,1,0,1,2,5,5,5,14,12,12,12.0
241,1,17,1,4,4,4,1,0,2,2,0,1,1,1,0,0,1,3,3,3,4,2,10,11,12.0
243,1,16,0,4,4,3,2,0,1,1,0,1,0,0,1,0,1,5,3,2,5,0,13,12,12.0
245,1,16,0,2,1,2,1,0,3,1,0,1,0,0,0,0,1,4,3,3,4,6,18,18,18.0
246,1,17,0,2,3,2,1,1,2,1,0,1,0,0,0,0,1,5,2,2,2,4,12,12,13.0
247,1,22,0,3,1,3,2,0,1,1,3,1,0,0,0,1,1,5,4,5,1,16,6,8,8.0
248,1,18,1,3,3,2,2,0,1,2,1,1,1,0,0,0,1,4,3,3,5,8,3,5,5.0
249,1,16,0,0,2,2,1,0,1,1,0,1,0,1,0,0,1,4,3,2,5,0,13,15,15.0
250,1,18,0,3,2,3,1,0,2,1,1,1,0,0,0,1,1,4,4,5,5,0,6,8,8.0
251,1,16,0,3,3,0,1,2,3,2,0,0,1,0,0,0,1,5,3,3,2,6,7,10,10.0
252,1,18,0,2,1,3,2,0,1,1,1,1,0,0,0,1,1,3,2,5,5,4,6,9,8.0
253,1,16,0,2,1,2,1,0,2,1,0,1,0,0,1,0,0,3,3,2,3,0,8,9,8.0
254,1,17,0,2,1,2,1,0,1,1,0,1,0,0,0,0,1,4,4,2,5,0,8,12,12.0
255,1,17,1,1,1,1,1,0,2,1,1,1,1,0,1,0,1,4,4,4,5,2,7,9,8.0
256,0,17,1,4,2,4,2,0,1,4,0,1,1,1,1,0,1,4,2,3,4,6,14,12,13.0
257,1,19,1,4,3,3,4,0,1,2,0,1,1,0,0,0,1,4,3,1,1,12,11,11,11.0
258,1,18,0,2,1,2,1,0,1,2,0,1,0,0,1,0,1,5,2,4,4,8,15,14,14.0
260,0,18,0,4,3,3,1,1,1,2,0,1,1,1,0,0,1,3,1,2,2,21,17,18,18.0
261,1,18,0,4,3,4,1,0,1,2,0,1,1,1,0,0,1,4,3,2,3,2,8,8,8.0
262,1,18,0,3,2,2,1,0,1,3,0,1,0,0,1,0,0,5,3,2,3,1,13,12,12.0
263,0,17,0,3,3,2,1,0,1,3,0,1,0,0,1,0,0,3,2,3,4,4,10,9,9.0
265,1,18,1,3,4,2,1,0,2,2,0,1,1,1,1,0,1,4,2,5,1,13,17,17,17.0
266,1,17,0,3,1,3,1,0,1,2,0,1,0,1,1,0,1,5,4,4,5,2,9,9,10.0
267,0,18,0,4,4,4,1,0,2,2,0,1,0,1,1,0,1,4,3,4,4,8,12,10,11.0
268,1,18,0,4,2,1,1,1,1,2,0,1,1,1,1,0,1,5,4,5,5,10,10,9,10.0
270,0,19,0,3,3,2,2,2,1,2,2,1,1,1,1,0,1,4,3,5,5,15,9,9,9.0
271,0,18,0,2,3,2,2,1,1,4,0,1,1,1,1,0,1,4,5,5,2,4,15,14,14.0
272,0,18,1,1,1,2,1,0,2,2,0,1,1,1,0,0,0,4,4,3,3,2,11,11,11.0
273,1,17,0,1,2,0,4,0,1,2,0,1,1,1,1,0,0,3,5,2,1,2,15,14,14.0
274,0,17,0,2,4,0,3,0,2,2,0,1,1,1,0,0,1,4,3,3,1,2,10,10,10.0
275,0,17,1,2,2,3,1,0,2,2,0,0,1,1,0,0,1,4,4,4,5,6,12,12,12.0
276,0,18,0,3,2,2,2,0,2,2,0,1,0,0,0,1,1,4,1,1,5,75,10,9,9.0
277,1,18,0,4,4,4,2,0,2,1,0,1,0,1,1,0,1,3,2,4,3,22,9,9,9.0
278,0,18,0,4,4,1,3,1,1,2,1,0,1,0,1,0,1,2,4,4,4,15,9,8,8.0
279,1,18,1,4,3,4,2,0,2,1,0,1,0,1,1,0,1,4,2,3,1,8,10,11,10.0
